Wall time,Step,Value,,Value,,Value,,Value
1605466830,911,-19,,-19,,-20,,-21
1605466833,1670,-21,,-21,,-16,,-20
1605466836,2752,-20,,-20,,-20,,-20
1605466839,3586,-21,,-21,,-21,,-20
1605466842,4525,-20,,-20,,-21,,-21
1605466845,5389,-21,,-21,,-19,,-21
1605466848,6243,-20,,-20,,-20,,-18
1605466850,7080,-21,,-21,,-21,,-20
1605466853,7859,-21,,-21,,-21,,-20
1605466856,8797,-21,,-21,,-20,,-19
1605466860,9754,-19,,-19,,-19,,-19
1605466873,10900,-18,,-19,,-20,,-20
1605466884,11810,-20,,-20,,-20,,-19
1605466896,12756,-20,,-19,,-21,,-19
1605466907,13617,-20,,-19,,-20,,-20
1605466918,14451,-20,,-20,,-20,,-20
1605466934,15710,-16,,-21,,-20,,-21
1605466944,16494,-21,,-19,,-20,,-21
1605466957,17470,-20,,-21,,-19,,-20
1605466968,18384,-20,,-17,,-18,,-20
1605466983,19485,-19,,-19,,-20,,-21
1605466996,20521,-19,,-20,,-19,,-19
1605467008,21402,-20,,-18,,-21,,-20
1605467017,22160,-21,,-20,,-19,,-18
1605467033,23348,-18,,-19,,-20,,-20
1605467047,24281,-20,,-21,,-19,,-20
1605467059,25227,-20,,-17,,-19,,-21
1605467074,26388,-18,,-20,,-20,,-20
1605467095,27821,-17,,-21,,-21,,-18
1605467111,29050,-19,,-16,,-20,,-21
1605467128,30091,-20,,-19,,-19,,-20
1605467153,31778,-16,,-19,,-18,,-19
1605467171,33023,-19,,-15,,-18,,-18
1605467185,33983,-19,,-18,,-19,,-21
1605467203,35186,-18,,-19,,-20,,-19
1605467227,36916,-14,,-19,,-20,,-21
1605467245,38134,-18,,-19,,-16,,-20
1605467266,39461,-17,,-18,,-18,,-21
1605467281,40499,-20,,-8,,-15,,-20
1605467300,41975,-17,,-17,,-18,,-19
1605467320,43322,-17,,-16,,-14,,-21
1605467345,45032,-15,,-18,,-16,,-20
1605467371,46551,-14,,-17,,-16,,-21
1605467397,48191,-15,,-17,,-18,,-21
1605467425,50014,-13,,-16,,-11,,-20
1605467459,52275,-7,,-20,,-16,,-21
1605467484,54058,-16,,-13,,-18,,-20
1605467509,55780,-15,,-17,,-16,,-19
1605467535,57562,-16,,-13,,-8,,-19
1605467557,59072,-16,,-18,,-15,,-19
1605467594,61295,-10,,-11,,-9,,-20
1605467626,63165,-15,,-8,,-10,,-20
1605467662,65389,-12,,-16,,-13,,-18
1605467691,67299,-13,,-21,,-5,,-21
1605467720,69057,-15,,-14,,-14,,-20
1605467758,71571,-13,,-15,,-10,,-20
1605467786,73285,-15,,-15,,-13,,-19
1605467824,75527,-11,,-16,,-17,,-19
1605467873,78333,-6,,-12,,-11,,-18
1605467917,80886,-13,,-12,,-8,,-20
1605467952,83073,-12,,-15,,-15,,-20
1605467995,85867,-10,,-10,,-14,,-21
1605468031,88248,-11,,-8,,-7,,-21
1605468090,91984,-1,,-10,,-10,,-19
1605468136,94999,-3,,-13,,-12,,-19
1605468185,98244,3,,-10,,-9,,-19
1605468234,101144,-7,,-2,,7,,-20
1605468288,104431,4,,-9,,4,,-19
1605468331,107048,-9,,-9,,4,,-19
1605468387,110402,2,,-2,,-5,,-21
1605468440,113527,-1,,-7,,4,,-20
1605468494,116755,5,,-9,,-10,,-21
1605468558,120623,-1,,-10,,9,,-19
1605468616,123923,-2,,3,,9,,-19
1605468675,127391,-3,,-11,,13,,-21
1605468721,130154,10,,-3,,9,,-20
1605468762,132733,12,,-6,,8,,-19
1605468821,136219,4,,13,,11,,-20
1605468873,139273,8,,1,,5,,-20
1605468914,141828,13,,-4,,6,,-18
1605468968,145042,4,,-6,,5,,-20
1605469014,147838,8,,-8,,11,,-19
1605469062,150789,13,,-4,,13,,-21
1605469111,153845,6,,7,,16,,-20
1605469153,156411,11,,5,,8,,-20
1605469199,159223,7,,2,,11,,-20
1605469254,162542,8,,3,,5,,-21
1605469302,165504,10,,1,,17,,-20
1605469358,168982,1,,1,,16,,-19
1605469400,171604,11,,4,,19,,-19
1605469443,174129,9,,6,,11,,-18
1605469489,176998,-1,,3,,16,,-19
1605469535,179837,9,,14,,11,,-21
1605469567,181869,15,,10,,17,,-19
1605469619,184966,8,,8,,19,,-20
1605469671,188031,11,,11,,15,,-20
1605469714,190382,16,,6,,15,,-20
1605469773,193812,2,,10,,12,,-21
1605469820,196747,17,,5,,20,,-20
1605469868,199695,10,,4,,7,,-21
1605469918,202495,6,,4,,13,,-19
1605469964,205393,10,,7,,12,,-21
