Wall time,Step,Value,Value,Value,Value
1605438621,865,-21,-21,-21,-20
1605438624,1868,-19,-19,-21,-20
1605438627,2769,-21,-21,-21,-20
1605438630,3552,-21,-21,-19,-21
1605438633,4560,-20,-20,-21,-21
1605438635,5405,-21,-21,-21,-21
1605438638,6243,-21,-21,-21,-19
1605438641,7136,-20,-20,-19,-21
1605438644,7897,-21,-21,-20,-21
1605438646,8654,-21,-21,-20,-21
1605438649,9409,-21,-21,-20,-21
1605438654,10223,-21,-21,-20,-20
1605438667,11172,-20,-21,-21,-17
1605438680,12069,-20,-20,-20,-18
1605438691,12886,-21,-21,-21,-21
1605438705,13917,-20,-20,-19,-21
1605438716,14812,-20,-21,-20,-21
1605438731,16017,-17,-21,-20,-18
1605438743,16896,-20,-18,-20,-20
1605438759,18027,-19,-21,-21,-19
1605438772,18967,-20,-21,-19,-21
1605438785,19976,-19,-20,-21,-20
1605438795,20812,-20,-21,-20,-20
1605438808,21874,-20,-19,-20,-21
1605438821,22936,-20,-20,-20,-19
1605438833,23933,-20,-21,-21,-20
1605438846,25033,-20,-21,-20,-20
1605438861,26100,-19,-18,-20,-21
1605438876,27204,-20,-20,-20,-20
1605438892,28330,-19,-20,-18,-20
1605438904,29263,-21,-21,-21,-21
1605438921,30557,-19,-21,-20,-21
1605438934,31663,-18,-19,-21,-20
1605438948,32659,-18,-19,-20,-19
1605438965,34018,-19,-21,-21,-21
1605438980,35228,-19,-19,-19,-19
1605438995,36451,-17,-20,-19,-21
1605439011,37703,-18,-17,-18,-21
1605439030,39155,-17,-18,-20,-21
1605439051,40811,-16,-18,-21,-21
1605439070,42190,-17,-18,-19,-21
1605439089,43670,-18,-18,-20,-21
1605439107,45082,-20,-20,-18,-21
1605439133,46902,-13,-18,-18,-21
1605439152,48169,-18,-18,-17,-19
1605439173,49573,-18,-15,-19,-20
1605439197,51190,-15,-18,-19,-20
1605439216,52527,-17,-15,-16,-21
1605439238,53998,-18,-18,-18,-20
1605439262,55649,-16,-18,-18,-21
1605439286,57244,-19,-15,-21,-21
1605439313,59262,-12,-15,-20,-21
1605439333,60605,-17,-16,-16,-21
1605439375,63336,-8,-18,-16,-20
1605439401,64931,-17,-18,-16,-20
1605439420,66137,-18,-19,-16,-21
1605439446,67886,-16,-20,-18,-21
1605439474,69949,-14,-16,-18,-21
1605439501,71779,-18,-12,-19,-21
1605439526,73545,-14,-13,-14,-21
1605439547,74976,-18,-16,-14,-20
1605439580,77149,-14,-16,-17,-20
1605439613,79347,-13,-16,-13,-21
1605439635,80879,-17,-14,-14,-19
1605439668,83263,-14,-13,-14,-21
1605439701,85705,-7,-16,-15,-21
1605439731,87811,-14,-15,-12,-17
1605439763,90107,-12,-9,-19,-18
1605439797,92501,-9,-10,-17,-20
1605439827,94576,-15,-11,-11,-20
1605439878,97697,-6,-13,-10,-21
1605439920,100457,-6,-9,-6,-19
1605439957,102948,-14,-15,-8,-20
1605440001,105901,-8,-8,-6,-20
1605440047,108651,-9,-11,-10,-21
1605440075,110492,-16,-10,-5,-21
1605440124,113335,-8,-11,-1,-21
1605440169,116204,-9,-11,1,-20
1605440208,118826,-7,-4,-2,-21
1605440253,121748,-7,-9,-7,-19
1605440300,124672,-7,-5,2,-20
1605440334,126770,-10,-4,-3,-20
1605440379,129502,-8,-1,-10,-19
1605440426,132189,-10,-7,-2,-18
1605440477,135344,-7,-7,-1,-21
1605440524,138501,6,-5,1,-20
1605440568,141198,-11,4,2,-20
1605440608,143692,-11,3,-2,-20
1605440661,147209,-1,-9,-6,-21
1605440712,150463,-3,-2,-8,-20
1605440763,153620,1,-4,-1,-19
1605440806,156532,3,-2,7,-21
1605440856,159653,-3,1,8,-21
1605440907,162845,2,-2,5,-20
1605440962,166280,1,3,6,-20
1605441007,169124,-4,-1,16,-20
1605441062,172286,3,5,10,-21
1605441110,175239,8,-10,4,-20
1605441156,177997,6,-2,9,-18
1605441190,180105,16,-8,-3,-20
1605441228,182412,13,-5,2,-21
1605441269,184939,10,-3,1,-21
1605441322,188208,1,-3,20,-21
1605441359,190474,12,-6,-9,-18
1605441404,193513,2,5,18,-21
1605441445,195996,10,5,10,-21
1605441483,198374,15,9,7,-20
1605441512,200184,18,-7,8,-21
1605441551,202739,10,-2,18,-21
1605441581,204696,18,3,15,-19
1605441611,206466,19,-5,9,-19
1605441644,208554,16,3,7,-19
1605441676,210521,16,9,17,-20
1605441706,212488,17,8,15,-21
1605441731,214114,21,10,16,-21
1605441760,216037,17,15,14,-19
1605441787,217798,19,15,20,-17
1605441813,219521,20,9,17,-19
1605441843,221365,20,15,17,-19
1605441870,223118,19,13,19,-21
1605441897,224798,20,2,4,-21
1605441924,226557,20,3,10,-20
1605441953,228303,19,8,18,-20
1605441979,230100,18,3,3,-21
1605442005,231803,19,4,6,-21
1605442030,233467,20,-2,9,-19
1605442062,235510,14,7,12,-20
1605442094,237518,16,8,15,-20
1605442122,239243,20,18,13,-20
1605442149,240908,20,11,15,-19
1605442178,242687,18,9,10,-21
1605442208,244666,16,7,12,-21
1605442240,246649,15,15,16,-19
1605442269,248375,19,13,17,-20
1605442298,250288,17,20,19,-20
1605442329,252201,18,14,17,-19
1605442355,253863,20,4,15,-20
1605442391,256052,13,11,15,-19
1605442427,258300,15,8,15,-17
1605442464,260567,13,9,17,-21
