Wall time,Step,Value,Value,Value
1605438621,865,-21,-21,-21
1605438624,1868,-20,-20,-21
1605438627,2769,-20.33333397,-20.33333397,-21
1605438630,3552,-20.5,-20.5,-20.5
1605438633,4560,-20.39999962,-20.39999962,-20.60000038
1605438635,5405,-20.5,-20.5,-20.66666603
1605438638,6243,-20.5714283,-20.5714283,-20.7142849
1605438641,7136,-20.5,-20.5,-20.5
1605438644,7897,-20.55555534,-20.55555534,-20.44444466
1605438646,8654,-20.60000038,-20.60000038,-20.39999962
1605438649,9409,-20.63636398,-20.63636398,-20.36363602
1605438654,10223,-20.66666603,-20.66666603,-20.33333397
1605438667,11172,-20.61538506,-20.69230843,-20.38461494
1605438680,12069,-20.5714283,-20.6428566,-20.3571434
1605438691,12886,-20.60000038,-20.66666603,-20.39999962
1605438705,13917,-20.5625,-20.625,-20.3125
1605438716,14812,-20.52941132,-20.64705849,-20.29411697
1605438731,16017,-20.33333397,-20.66666603,-20.27777863
1605438743,16896,-20.31579018,-20.52631569,-20.2631588
1605438759,18027,-20.25,-20.54999924,-20.29999924
1605438772,18967,-20.23809433,-20.5714283,-20.23809433
1605438785,19976,-20.18181801,-20.54545403,-20.27272797
1605438795,20812,-20.17391396,-20.56521797,-20.26086998
1605438808,21874,-20.16666603,-20.5,-20.25
1605438821,22936,-20.15999985,-20.47999954,-20.23999977
1605438833,23933,-20.15384674,-20.5,-20.26922989
1605438846,25033,-20.14814758,-20.51851845,-20.25926018
1605438861,26100,-20.1071434,-20.4285717,-20.25
1605438876,27204,-20.10344887,-20.41379356,-20.24137878
1605438892,28330,-20.06666756,-20.39999962,-20.16666603
1605438904,29263,-20.09677505,-20.41935539,-20.1935482
1605438921,30557,-20.0625,-20.4375,-20.1875
1605438934,31663,-20,-20.39393997,-20.21212196
1605438948,32659,-19.94117737,-20.35294151,-20.20588303
1605438965,34018,-19.91428566,-20.37142944,-20.22857094
1605438980,35228,-19.88888931,-20.33333397,-20.19444466
1605438995,36451,-19.81081009,-20.32432365,-20.16216278
1605439011,37703,-19.7631588,-20.2368412,-20.10526276
1605439030,39155,-19.69230843,-20.17948723,-20.10256386
1605439051,40811,-19.60000038,-20.125,-20.125
1605439070,42190,-19.53658485,-20.07317162,-20.09756088
1605439089,43670,-19.5,-20.02380943,-20.09523773
1605439107,45082,-19.5116272,-20.0232563,-20.0465107
1605439133,46902,-19.36363602,-19.97727203,-20
1605439152,48169,-19.33333397,-19.93333244,-19.93333244
1605439173,49573,-19.30434799,-19.82608604,-19.91304398
1605439197,51190,-19.21276665,-19.78723335,-19.89361763
1605439216,52527,-19.16666603,-19.6875,-19.8125
1605439238,53998,-19.1428566,-19.65306091,-19.77551079
1605439262,55649,-19.07999992,-19.62000084,-19.73999977
1605439286,57244,-19.07843208,-19.52941132,-19.76470566
1605439313,59262,-18.94230843,-19.44230843,-19.76922989
1605439333,60605,-18.90566063,-19.37735939,-19.69811249
1605439375,63336,-18.70370293,-19.35185242,-19.62962914
1605439401,64931,-18.67272758,-19.32727242,-19.56363678
1605439420,66137,-18.6607151,-19.3214283,-19.5
1605439446,67886,-18.61403465,-19.33333397,-19.47368431
1605439474,69949,-18.53448296,-19.27586174,-19.44827652
1605439501,71779,-18.52542305,-19.15254211,-19.44067764
1605439526,73545,-18.45000076,-19.04999924,-19.35000038
1605439547,74976,-18.44262314,-19,-19.26229477
1605439580,77149,-18.37096786,-18.95161247,-19.22580719
1605439613,79347,-18.2857151,-18.90476227,-19.12698364
1605439635,80879,-18.265625,-18.828125,-19.046875
1605439668,83263,-18.20000076,-18.73846245,-18.96923065
1605439701,85705,-18.03030396,-18.69696999,-18.90909004
1605439731,87811,-17.97014999,-18.64179039,-18.80596924
1605439763,90107,-17.88235283,-18.5,-18.80882263
1605439797,92501,-17.75362396,-18.37681198,-18.78260803
1605439827,94576,-17.7142849,-18.27142906,-18.67142868
1605439878,97697,-17.54929543,-18.19718361,-18.54929543
1605439920,100457,-17.38888931,-18.06944466,-18.375
1605439957,102948,-17.34246635,-18.02739716,-18.23287582
1605440001,105901,-17.21621704,-17.89189148,-18.06756783
1605440047,108651,-17.10666656,-17.79999924,-17.95999908
1605440075,110492,-17.09210587,-17.69736862,-17.78947449
1605440124,113335,-16.97402573,-17.61038971,-17.5714283
1605440169,116204,-16.87179565,-17.52564049,-17.33333397
1605440208,118826,-16.74683571,-17.35443115,-17.13924026
1605440253,121748,-16.625,-17.25,-17.01250076
1605440300,124672,-16.50617218,-17.09876633,-16.77777863
1605440334,126770,-16.42682838,-16.93902397,-16.60975647
1605440379,129502,-16.32530212,-16.7469883,-16.53012085
1605440426,132189,-16.25,-16.63095284,-16.3571434
1605440477,135344,-16.14117622,-16.51764679,-16.1764698
1605440524,138501,-15.88372135,-16.3837204,-15.97674465
1605440568,141198,-15.82758617,-16.14942551,-15.7701149
1605440608,143692,-15.77272701,-15.93181801,-15.61363602
1605440661,147209,-15.60674191,-15.85393238,-15.5056181
1605440712,150463,-15.46666622,-15.69999981,-15.42222214
1605440763,153620,-15.28571415,-15.5714283,-15.26373672
1605440806,156532,-15.08695698,-15.423913,-15.02173901
1605440856,159653,-14.95698929,-15.24731159,-14.77419376
1605440907,162845,-14.77659607,-15.10638332,-14.56382942
1605440962,166280,-14.61052608,-14.9157896,-14.34736824
1605441007,169124,-14.5,-14.77083302,-14.03125
1605441062,172286,-14.31958771,-14.56700993,-13.78350544
1605441110,175239,-14.09183693,-14.52040863,-13.60204124
1605441156,177997,-13.88888931,-14.39393902,-13.37373734
1605441190,180105,-13.59000015,-14.32999992,-13.27000046
1605441228,182412,-13.25,-14.17000008,-13.03999996
1605441269,184939,-12.96000004,-14.01000023,-12.81999969
1605441322,188208,-12.73999977,-13.82999992,-12.40999985
1605441359,190474,-12.40999985,-13.68000031,-12.31000042
1605441404,193513,-12.18999958,-13.43000031,-11.92000008
1605441445,195996,-11.88000011,-13.17000008,-11.60999966
1605441483,198374,-11.52000046,-12.86999989,-11.32999992
1605441512,200184,-11.14000034,-12.73999977,-11.06000042
1605441551,202739,-10.82999992,-12.55000019,-10.68000031
1605441581,204696,-10.43999958,-12.31000042,-10.32999992
1605441611,206466,-10.03999996,-12.14999962,-10.03999996
1605441644,208554,-9.670000076,-11.90999985,-9.770000458
1605441676,210521,-9.31000042,-11.60999966,-9.390000343
1605441706,212488,-8.93999958,-11.32999992,-9.039999962
1605441731,214114,-8.520000458,-11.02000046,-8.670000076
1605441760,216037,-8.149999619,-10.67000008,-8.340000153
1605441787,217798,-7.760000229,-10.31000042,-7.940000057
1605441813,219521,-7.389999866,-10.01000023,-7.570000172
1605441843,221365,-6.989999771,-9.680000305,-7.199999809
1605441870,223118,-6.610000134,-9.340000153,-6.800000191
1605441897,224798,-6.210000038,-9.109999657,-6.570000172
1605441924,226557,-5.820000172,-8.880000114,-6.260000229
1605441953,228303,-5.429999828,-8.590000153,-5.880000114
1605441979,230100,-5.050000191,-8.369999886,-5.650000095
1605442005,231803,-4.659999847,-8.130000114,-5.389999866
1605442030,233467,-4.260000229,-7.940000057,-5.090000153
1605442062,235510,-3.920000076,-7.659999847,-4.769999981
1605442094,237518,-3.569999933,-7.400000095,-4.420000076
1605442122,239243,-3.170000076,-7.019999981,-4.090000153
1605442149,240908,-2.779999971,-6.710000038,-3.75999999
1605442178,242687,-2.390000105,-6.409999847,-3.450000048
1605442208,244666,-2.039999962,-6.130000114,-3.130000114
1605442240,246649,-1.710000038,-5.789999962,-2.75999999
1605442269,248375,-1.340000033,-5.46999979,-2.390000105
