Wall time,Step,Value,Value,Value
1606424653,280,12.5,12.5,12.5
1606424653,481,13.33333302,13.33333302,13.33333302
1606424653,510,12.85714245,12.85714245,12.85714245
1606424655,1348,31.66666603,25.90909004,21.11111069
1606424655,1470,25.90909004,29.58333397,17.27272797
1606424656,1930,29.58333397,31.0714283,15.83333302
1606424656,2028,28.84615326,29.66666603,18.5714283
1606424656,2341,31.0714283,27.8125,17.33333397
1606424656,2434,29.66666603,27.94117737,18.125
1606424656,2465,27.8125,27.5,17.64705849
1606424657,2618,27.94117737,28.68420982,19.44444466
1606424657,2692,27.5,27.25,18.94736862
1606424657,3117,28.68420982,27.8571434,18
1606424658,3277,27.25,26.60000038,18.5714283
1606424658,3460,27.8571434,26.73077011,19.60000038
1606424659,3727,27.60869598,26.29032326,18.84615326
1606424659,4080,26.60000038,26.3235302,24.1935482
1606424659,4249,26.73077011,25.5714283,23.52941132
1606424661,4968,26.29032326,24.72973061,22.8571434
1606424661,5080,26.09375,26.125,24.05405426
1606424661,5198,26.21212196,28.04878044,25.25
1606424661,5321,26.3235302,28.6046505,25.12195206
1606424661,5352,25.5714283,28.63636398,24.8837204
1606424661,5454,24.72973061,29.77777863,24.31818199
1606424663,6404,26.125,30.21739197,23.77777863
1606424664,6729,28.04878044,31.875,25
1606424664,7135,28.6046505,31,25.20833397
1606424665,7206,28.63636398,30.58823586,24.20000076
1606424665,7495,29.77777863,30.92592621,24.11764717
1606424665,7744,30.21739197,32.18181992,22.9629631
1606424666,8573,31.875,31.9642849,23.09090996
1606424667,8722,31,31.57894707,22.6785717
1606424667,8755,30.58823586,31.55172348,22.45614052
1606424668,9355,30.92592621,31.47541046,23.44827652
1606424669,9957,32.18181992,30.96774101,24.75409889
1606424670,10121,31.7857151,31.71875,24.75806427
1606424671,10213,31.57894707,30.90909004,24.453125
1606424671,10258,31.20689583,30.59701538,24.31818199
1606424675,10617,30.98360634,32.20588303,24.55223846
1606424676,10787,31.12903214,31.95652199,25.0735302
1606424684,11698,32.265625,31.59722137,24.85507202
1606424689,12226,33.03030396,31.71232796,25.06944466
1606424690,12362,32.98507309,31.68918991,24.72602654
1606424691,12409,32.79411697,31.26666641,25.06756783
1606424691,12441,32.31884003,30.84415627,24.73333359
1606424693,12597,32.1428566,30.69620323,26.36363602
1606424694,12698,31.52777863,30.3125,25.69620323
1606424694,12729,31.23287582,29.58823586,25.75
1606424696,12890,30.94594574,29.2441864,25.76470566
1606424700,13393,31.86666679,29.25287437,25.6976738
1606424701,13517,31.55844116,29.26136398,26.55172348
1606424704,13871,30.88607597,29.04494476,26.36363602
1606424705,13904,30.5,28.72222137,26.74157333
1606424706,14026,30,29.21052551,26.88888931
1606424710,14467,29.64705849,28.75,27.15789413
1606424713,14857,29.7674427,29.14999962,29.25
1606424714,14920,29.5402298,29.25,29.95000076
1606424715,15056,29.65909004,29.64999962,29.95000076
1606424715,15101,29.4382019,28.79999924,29.95000076
1606424716,15152,29.22222137,29.04999924,32
1606424721,15704,28.7368412,28.75,32.65000153
1606424732,17000,29.89999962,28.95000076,32.54999924
1606424738,17651,30.45000076,28.95000076,33.04999924
1606424742,18118,31.04999924,28.85000038,32.75
1606424744,18331,30.95000076,28.64999962,32.34999847
1606424747,18621,31.25,28.45000076,32.45000076
1606424763,20385,31.29999924,29.25,31.54999924
1606424772,21453,32.95000076,29.45000076,30.64999962
1606424775,21795,32.84999847,30.04999924,30.45000076
1606424778,22058,33.65000153,29.75,30.64999962
1606424778,22083,33.34999847,30.14999962,32.90000153
1606424783,22552,33.15000153,29.89999962,32.5
1606424784,22695,33.15000153,29.10000038,32.09999847
1606424785,22847,33.25,29.29999924,32.29999924
1606424792,23574,33.54999924,28.70000076,32.40000153
1606424793,23649,33.34999847,28.39999962,33.29999924
1606424799,24302,33.45000076,27.89999962,32.5
1606424807,25213,34.04999924,28.39999962,32.5
1606424808,25271,33.54999924,28.5,32.5
1606424810,25507,32.79999924,28.10000038,33.20000076
1606424811,25588,32.20000076,27.20000076,33.5
1606424813,25808,32.09999847,27.5,33.90000153
1606424814,25844,31.29999924,27.29999924,34.09999847
1606424815,25950,30.89999962,27.20000076,33.79999924
1606424815,25985,30.5,27.60000038,33.40000153
1606424819,26432,30.39999962,26.89999962,32.40000153
1606424822,26769,30.5,26.39999962,32.34999847
1606424824,26967,29.70000076,26.20000076,32.65000153
1606424825,27055,29,26.39999962,32.75
1606424826,27150,29.20000076,25.29999924,32.75
1606424827,27260,29,25.14999962,32.15000153
1606424830,27620,29.39999962,25.04999924,32.34999847
1606424831,27686,29.10000038,25.35000038,32.34999847
1606424832,27823,28.89999962,25.54999924,31.64999962
1606424837,28285,29,25.45000076,32.70000076
1606424837,28342,28.20000076,25.35000038,32.70000076
1606424839,28526,28,25.64999962,33.40000153
1606424843,28946,28.10000038,25.35000038,33.40000153
1606424843,29048,28.29999924,25.45000076,33.20000076
1606424844,29128,28.10000038,25.64999962,32.5
1606424848,29520,29.20000076,25.45000076,32.29999924
1606424854,30136,28.75,25.64999962,31.5
1606424857,30424,29.04999924,25.64999962,31.70000076
1606424858,30605,29.54999924,24.95000076,32.09999847
1606424859,30700,29.54999924,24.64999962,31.89999962
1606424861,30858,29.75,25.35000038,33.34999847
1606424862,30939,29.85000038,26.95000076,33.54999924
1606424867,31531,30.45000076,26.79999924,31.70000076
1606424868,31659,30.04999924,26.79999924,32.09999847
1606424869,31783,30.14999962,26.79999924,32.5
1606424871,32012,30.14999962,26.60000038,32.09999847
1606424872,32058,30.14999962,25.60000038,31.60000038
